Unnamed: 0,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,Rotten Tomatoes Rating
7498,7499,The Akron Holy War,2017,7+,7.6,,0,0,1,0,0,Anthony Fanelli,"Documentary,Action,Sport",United States,English,94.0,NA
7499,7500,A Chairy Tale,1957,,7.4,,0,0,1,0,0,"Claude Jutra,Norman McLaren","Animation,Short,Comedy,Fantasy",Canada,None,12.0,NA
7500,7501,Last of the Renegades,1964,,6.6,,0,0,1,0,0,Court Bauer,Sport,United States,English,,NA
7501,7502,The Battle of Pussy Willow Creek,2013,,6.4,56%,0,0,1,0,0,Wendy Jo Cohen,"Comedy,History,War",United States,English,95.0,56
7502,7503,Home Sweet Hell,2015,18+,5.4,5%,0,0,1,0,0,Anthony Burns,"Comedy,Crime,Thriller",United States,"English,French",98.0,5
7503,7504,Programming The Nation?,2011,all,6.2,38%,0,0,1,0,0,Jeff Warrick,Documentary,United States,English,105.0,38
7504,7505,Krantiveer,1994,7+,7.4,,0,0,1,0,0,Mehul Kumar,"Action,Crime,Drama",India,Hindi,159.0,NA
7505,7506,Battles Without Honor and Humanity: Police Tactics,1974,,7.4,,0,0,1,0,0,Kinji Fukasaku,"Action,Crime,Drama",Japan,Japanese,101.0,NA
7506,7507,The Matchbreaker,2016,7+,5.6,,0,0,1,0,0,Caleb Vetter,"Comedy,Romance",United States,English,94.0,NA
7507,7508,Dead Rising: Watchtower,2015,18+,5.2,,0,0,1,0,0,Zach Lipovsky,"Action,Horror",United States,English,118.0,NA
7508,7509,In Search of Blind Joe Death: The Saga of John Fahey,2013,,6.9,100%,0,0,1,0,0,James Cullingham,"Documentary,Biography,History,Music",Canada,English,58.0,100
7509,7510,Any Bullet Will Do,2019,,4.5,,0,0,1,0,0,Justin Lee,Western,United States,English,110.0,NA
7510,7511,The Living,2014,18+,6.1,50%,0,0,1,0,0,Jack Bryan,"Crime,Drama,Mystery,Thriller",United States,English,89.0,82
7511,7512,Shaolin Prince,1982,18+,7.0,,0,0,1,0,0,Chia Tang,"Action,Comedy",Hong Kong,"Mandarin,Cantonese",100.0,
7512,7513,Jack the Giant Killer,1962,all,6.4,,0,0,1,0,0,Bryan Singer,"Adventure,Fantasy",United Kingdom,English,114.0,75
