ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Seasons Count
362,De Palma,2016,18+,7.4,94%,1,0,0,0,0,NA
363,Dear Ex,2018,18+,7.4,89%,1,0,0,0,0,NA
364,Tomorrow Never Dies,1997,13+,6.5,57%,1,0,0,0,0,NA
365,Veronica,2017,18+,6.2,88%,1,0,0,0,0,NA
366,The Cakemaker,2017,,7.2,98%,1,0,0,0,0,NA
367,Instructions Not Included,2013,13+,7.5,57%,1,0,0,0,0,NA
368,Bleed for This,2016,18+,6.8,69%,1,0,0,0,0,NA
369,Girl,2018,18+,7.2,84%,1,0,1,0,0,NA
370,The Naked Gun 2½: The Smell of Fear,1991,13+,6.9,57%,1,0,0,0,0,NA
371,Bareilly's Barfi,2017,,7.5,86%,1,0,0,0,0,NA
372,The Sky Is Pink,2019,,7.5,72%,1,0,0,0,0,NA
373,Chitty Chitty Bang Bang,1968,all,6.9,67%,1,0,0,0,0,NA
374,A Wednesday!,2008,,8.1,,1,0,0,0,0,1
