ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Kind,Seasons Count
8581,An Evening In Paris,1967,,6.9,,0,0,1,0,0,movie,NA
8582,Into Thin Air,1985,,7.1,,0,0,1,0,0,movie,NA
8583,Into the Cold: A Journey of the Soul,2010,,6.6,,0,0,1,0,0,movie,NA
8584,Jim Norton: Please Be Offended,2012,18+,7.1,,0,0,1,0,0,movie,NA
8585,Popi,1969,all,6.7,,0,0,1,0,0,movie,NA
8586,Plastic Galaxy: The Story of Star Wars Toys,2014,,6.5,,0,0,1,0,0,movie,NA
8587,The Big Squeeze,1996,18+,5.1,43%,0,0,1,0,0,movie,NA
8588,Deep Dark,2015,,5.0,,0,0,1,0,0,movie,NA
8589,Kayla: A Cry in the Wilderness,1997,,6.3,,0,0,1,0,0,tv movie,NA
8590,On the Shoulders of Giants,2011,,7.0,,0,0,1,0,0,movie,NA
8591,Hider in the House,1989,18+,5.9,,0,0,1,0,0,movie,NA
8592,Sweet Bird of Youth,1989,,5.7,,0,0,1,0,0,movie,NA
8593,Between Love & Goodbye,2009,18+,5.7,33%,0,0,1,0,0,movie,NA
8594,A Little Bit Zombie,2012,18+,5.3,,0,0,1,0,0,movie,NA
8595,Al Madrigal: Shrimpin' Ain't Easy,2017,18+,6.8,,0,0,1,0,0,movie,NA
8596,Chinatown Kid,1977,18+,6.7,,0,0,1,0,0,movie,NA
8597,Just Getting Started,2017,13+,4.4,4%,0,0,1,0,0,movie,NA
8598,Deep in the Wood,2015,,6.4,,0,0,1,0,0,movie,NA
8599,Tovarisch I Am Not Dead,2008,,8.0,,0,0,1,0,0,movie,NA
8600,Embryo,1976,7+,5.1,,0,0,1,0,0,tv movie,NA
8601,Casino Raiders,1989,,6.8,,0,0,1,0,0,movie,NA
8602,Kingdom Come,2011,,7.3,,0,0,1,0,0,movie,NA
8603,The Curse of Sleeping Beauty,2016,16+,4.2,15%,0,0,1,0,0,movie,NA
8604,The Pied Piper of Hützovina,2007,,7.0,,0,0,1,0,0,movie,NA
8605,Blue Collar Boys,2012,13+,6.7,,0,0,1,0,0,movie,NA
8606,Northern Borders,2015,,6.1,40%,0,0,1,0,0,movie,NA
8607,Slaughterhouse,1987,18+,5.4,,0,0,1,0,0,movie,NA
